doc_id,category
1160_KennedyIchbin,NA
142Thunberg,NA
1945 Labour Party Manifesto -,moderate
1949_simone-de-beauvoir-the-second-sex,NA
Atlantic-Charter,moderate
Communist Manifesto,extreme
DefeatingEurabia1,NA
Earnest-Manifesto-042719,violent
"Four Freedoms Speech, Franklin Delano Roosevelt (1)",moderate
Full_text_I_Have_a_Dream_,moderate
Hitler_Adolf_-_Mein_Kampf,extreme
Imperium - Yockey,NA
"Maududi, Sayyid Abul A'la - Al Jihad Fil Islam by Syed Abul Aala Maududi",NA
"Pierce, William L. - FREE SPEECH ESSAYS 1995-2002",NA
PortHuronStatement,NA
Revolt Against The Modern World - Julius Evola,NA
"Russian Imperial Manifesto, Announcing the Start of War in August 1914",NA
anders_breivik_-_2083_manifesto_-_2011,violent
brenton-tarrant-the-great-replacement-manifesto,violent
cho_manifesto_1.1,NA
milestones-f1,NA
patrick_crusius_-_the_inconvenient_truth_about_me,NA
rodger_manifesto,NA
roofmanifesto,NA
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post,NA
the state and revolution - lenin,extreme
the urban guerilla concept,NA
the-lawful-and-the-prohibited-in-islam_text,NA
universal declaration of human rights,NA
velayat_faqeeh - Khomeini,NA
what is to be done - lenin,extreme
